country,active,confirmed,death,recovered,population
Afghanistan,5.092,40.141,1.488,33.561,38.041754
Albania,6.325,16.774,0.448,10.001,2.854191
Algeria,14.386,54.203,1.846,37.971,43.053054
Andorra,1.261,3.377,0.059,2.057,0.077142
Angola,4.199,7.462,0.241,3.022,31.825295
Antigua and Barbuda,0.015,0.119,0.003,0.101,0.097118
Argentina,161.838,979.119,26.107,791.174,44.938712
Armenia,14.008,63,1.067,47.925,2.957731
Australia,1.388,27.39,0.904,25.098,25.364307
Austria,13.474,63.134,0.889,48.771,8.877067
Azerbaijan,3.791,44.317,0.623,39.903,10.023318
Bahamas,2.236,5.628,0.116,3.276,0.389482
Bahrain,3.437,77.571,0.293,73.841,1.641172
Bangladesh,79.351,387.295,5.646,302.298,163.046161
Barbados,0.017,0.219,0.007,0.195,0.287025
Belarus,6.709,87.063,0.925,79.429,9.466856
Belgium,181.649,213.115,10.392,21.074,11.484055
Belize,1.084,2.775,0.043,1.648,0.390353
Benin,0.125,2.496,0.041,2.33,11.801151
Bolivia,27.045,139.71,8.463,104.202,11.5131
Bosnia and Herzegovina,7.807,33.561,0.981,24.773,3.301
Botswana,4.317,5.242,0.02,0.905,2.303697
Brazil,544.294,5224.362,153.675,4526.393,211.049527
Brunei,0.001,0.147,0.003,0.143,0.433285
Bulgaria,11.228,29.108,0.968,16.912,6.975761
Burkina Faso,0.56,2.343,0.065,1.718,20.321378
Myanmar,17.667,34.875,0.838,16.37,54.04542
Burundi,0.038,0.536,0.001,0.497,11.53058
Cabo Verde,1.08,7.638,0.085,6.473,0.549935
Cameroon,0.901,21.441,0.423,20.117,25.87638
Canada,NA,197.067,9.782,166.444,37.589262
Central African Republic,2.869,4.855,0.062,1.924,4.745185
Chad,0.093,1.365,0.093,1.179,15.946876
Chile,NA,490.003,13.588,462.712,18.952038
China,0.425,90.955,4.739,85.791,1397.715
Colombia,76.101,952.371,28.803,847.467,50.339443
Comoros,0.01,0.502,0.007,0.485,0.850886
"Congo, Rep.",1.177,5.156,0.092,3.887,5.380508
"Congo, Dem. Rep.",0.356,11,0.302,10.342,86.790567
Costa Rica,35.515,95.514,1.183,58.816,5.047561
Cote d'Ivoire,0.197,20.301,0.121,19.983,25.716544
Croatia,4.844,24.761,0.355,19.562,4.0675
Cuba,0.292,6.17,0.125,5.753,11.333483
Cyprus,1.112,2.581,0.025,1.444,1.198575
Czech Republic,98.53,168.827,1.352,68.945,10.669709
Denmark,5.358,35.44,0.679,29.403,5.818553
Djibouti,0.018,5.452,0.061,5.373,0.97356
Dominican Republic,21.155,120.925,2.195,97.575,10.738958
Ecuador,11.913,152.422,12.375,128.134,17.373662
Egypt,1.031,105.297,6.109,98.157,100.388073
El Salvador,3.77,31.456,0.917,26.769,6.453553
Equatorial Guinea,0.033,5.07,0.083,4.954,1.355986
Estonia,0.786,4.052,0.068,3.198,1.32659
Eswatini,0.258,5.765,0.115,5.392,1.14813
Ethiopia,44.989,88.434,1.346,42.099,112.07873
Fiji,0,0.032,0.002,0.03,0.889953
Finland,3.842,13.293,0.351,9.1,5.520314
France,735.003,876.342,33.325,108.014,67.059887
Gabon,0.397,8.881,0.054,8.43,2.172579
Gambia,0.882,3.649,0.118,2.649,2.347706
Georgia,8.33,16.285,0.128,7.827,3.720382
Germany,63.75,364.664,9.785,291.129,83.132799
Ghana,0.344,47.232,0.31,46.578,30.417856
Greece,23.085,24.932,0.5,1.347,10.716322
Guatemala,7.512,101.028,3.515,90.001,16.604026
Guinea,0.983,11.478,0.07,10.425,12.771246
Guinea-Bissau,0.566,2.389,0.041,1.782,1.920922
Guyana,0.976,3.71,0.109,2.625,0.782766
Haiti,1.512,8.956,0.231,7.213,11.263077
Honduras,50.369,87.594,2.563,34.662,9.746117
Hungary,30.127,44.816,1.109,13.58,9.769949
Iceland,1.242,3.998,0.011,2.745,0.361313
India,783.311,7494.551,114.031,6597.209,1366.417754
Indonesia,63.739,357.762,12.431,281.592,270.625568
Iran,72.446,526.49,30.123,423.921,82.913906
Iraq,56.035,423.524,10.198,357.291,39.309783
Ireland,23.465,48.678,1.849,23.364,4.941444
Israel,35.135,302.77,2.19,265.445,9.0533
Italy,116.935,402.536,36.474,249.127,60.297396
Jamaica,4.374,8.195,0.168,3.653,2.948279
Japan,6.539,92.67,1.67,84.461,126.264931
Jordan,28.95,36.053,0.33,6.773,10.101694
Kazakhstan,2.637,109.406,1.768,105.001,18.51393
Kenya,11.619,44.196,0.825,31.752,52.573973
"Korea, Rep.",1.443,25.199,0.444,23.312,51.709098
Kuwait,7.681,115.483,0.694,107.108,4.207083
Kyrgyz Republic,4.873,51.49,1.108,45.509,6.4569
Latvia,2.02,3.392,0.043,1.329,1.912789
Lebanon,33.57,61.284,0.517,27.197,6.855713
Lesotho,0.83,1.833,0.042,0.961,2.125268
Liberia,0.027,1.377,0.082,1.268,4.937374
Libya,21.084,47.845,0.699,26.062,6.777452
Liechtenstein,0.084,0.217,0.001,0.132,0.038019
Lithuania,4.059,7.269,0.113,3.097,2.786844
Luxembourg,0.523,10.471,0.133,8.468,0.619896
Madagascar,0.357,16.81,0.238,16.215,26.969307
Malawi,0.931,5.852,0.181,4.74,18.628747
Malaysia,6.886,19.627,0.18,12.561,31.949777
Maldives,1.045,11.178,0.036,10.097,0.530953
Mali,0.677,3.379,0.132,2.57,19.658031
Malta,1.257,4.486,0.045,3.184,0.502653
Mauritania,0.102,7.607,0.163,7.342,4.525696
Mauritius,0.043,0.417,0.01,0.364,1.265711
Mexico,45.201,847.108,86.059,715.848,127.575529
Moldova,17.853,66.652,1.569,47.23,2.657637
Monaco,0.041,0.26,0.002,0.217,0.038964
Montenegro,4.428,15.427,0.231,10.768,0.622137
Morocco,26.652,170.911,2.878,141.381,36.471769
Mozambique,2.361,10.707,0.074,8.272,30.366036
Namibia,1.713,12.263,0.131,10.419,2.49453
Nepal,38.737,129.304,0.727,89.84,28.60871
Netherlands,213.989,225.97,6.797,5.184,17.33285
New Zealand,0.042,1.886,0.025,1.819,4.917
Nicaragua,0.974,5.353,0.154,4.225,6.545502
Niger,0.014,1.209,0.069,1.126,23.310715
Nigeria,3.627,61.307,1.123,56.557,200.963599
North Macedonia,5.266,23.201,0.824,17.111,2.083459
Norway,4.228,16.369,0.278,11.863,5.347896
Oman,12.996,108.296,1.071,94.229,4.974986
Pakistan,9.296,323.019,6.654,307.069,216.565318
Panama,21.202,124.107,2.557,100.348,4.246439
Papua New Guinea,0.034,0.581,0.007,0.54,8.776109
Paraguay,17.312,54.015,1.179,35.524,7.044636
Peru,54.413,862.417,33.648,774.356,32.510453
Philippines,52.423,354.338,6.603,295.312,108.116615
Poland,73.544,167.23,3.524,90.162,37.970874
Portugal,37.974,98.055,2.162,57.919,10.269417
Qatar,2.786,129.227,0.223,126.218,2.832067
Romania,41.1,176.468,5.812,129.556,19.356544
Russia,291.891,1376.02,23.857,1060.279,144.373535
Rwanda,0.169,4.971,0.034,4.768,12.62695
San Marino,0.032,0.759,0.042,0.685,0.03386
Sao Tome and Principe,0.021,0.932,0.015,0.896,0.215056
Saudi Arabia,8.524,341.854,5.165,328.165,34.268528
Senegal,1.319,15.392,0.317,13.756,16.296364
Serbia,35.172,35.946,0.774,0,6.944975
Sierra Leone,0.501,2.327,0.073,1.753,7.813215
Singapore,0.078,57.904,0.028,57.798,5.703569
Slovak Republic,20.889,28.268,0.082,7.297,5.454073
Slovenia,6.084,12.416,0.184,6.148,2.087946
Somalia,0.676,3.864,0.099,3.089,15.442905
South Africa,53.287,702.131,18.408,630.436,58.55827
South Sudan,1.472,2.817,0.055,1.29,11.062113
Spain,752.409,936.56,33.775,150.376,47.076781
Sri Lanka,2.067,5.475,0.013,3.395,21.803
Sudan,6.091,13.691,0.836,6.764,42.813238
Suriname,0.078,5.123,0.109,4.936,0.581372
Sweden,97.282,103.2,5.918,0,10.285453
Switzerland,21.7,74.422,2.122,50.6,8.574832
Syria,3.294,5.033,0.245,1.494,17.070135
Tajikistan,0.918,10.455,0.08,9.457,9.321018
Tanzania,0.305,0.509,0.021,0.183,58.005463
Thailand,0.146,3.686,0.059,3.481,69.625582
Togo,0.481,2.049,0.051,1.517,8.082366
Trinidad and Tobago,1.602,5.281,0.095,3.584,1.394973
Tunisia,34.884,40.542,0.626,5.032,11.694719
Turkey,33.955,345.678,9.224,302.499,83.429615
Uganda,3.458,10.455,0.096,6.901,44.269594
Ukraine,167.154,301.856,5.669,129.033,44.385155
United Arab Emirates,7.574,114.387,0.459,106.354,9.770529
United Kingdom,662.057,708.298,43.669,2.572,66.834405
Uruguay,0.398,2.501,0.051,2.052,3.461734
United States,NA,8116.935,219.494,3220.573,328.239523
Uzbekistan,2.531,62.809,0.522,59.756,33.58065
Venezuela,6.711,86.289,0.731,78.847,28.515829
Vietnam,0.06,1.126,0.035,1.031,96.462106
West Bank and Gaza,6.182,46.746,0.402,40.162,4.685306
Yemen,0.123,2.055,0.596,1.336,29.161922
Zambia,0.516,15.789,0.346,14.927,17.86103
Zimbabwe,0.206,8.11,0.231,7.673,14.645468
